,Var1,Freq,,,,,,,
2985,h_c,2070,,,,,,,
2995,h2o_c,1528,,,,,,,"proton, water, oxygen molecule, NADP+ , NADPH, ATP, diphosphate(ppi), carbon dioxide, phosphate, ADP, coA, UDP, NAD+ , NADH, AMP, ammonia, hydrogen peroxide, oxidized electron acceptor, reduced electron acceptor, 3-5-ADP, GDP, carbon monoxide, GTP, and FAD"
1190,atp_c,742,,,,,,,
4833,pi_c,623,ÎÞ»úÁ×ËáÑÎ,,,,,,
882,adp_c,602,,,,,,,
4392,na1_c,589,,,,,,,
4393,na1_e,583,,,,,,,
2990,h_m,463,,,,,,,
2986,h_e,420,,,,,,,
1919,coa_c,384,,,,,,,
4417,nadp_c,342,,,,,,,
4422,nadph_c,338,,,,,,,
2992,h_r,297,,,,,,,
2999,h2o_m,295,,,,,,,
3194,hco3_c,295,,,,,,,
3195,hco3_e,295,,,,,,,
1923,coa_m,278,,,,,,,
4484,o2_c,264,,,,,,,
3001,h2o_r,231,,,,,,,
2998,h2o_l,200,,,,,,,
4408,nad_m,199,,,,,,,
4414,nadh_m,197,,,,,,,
1971,crn_c,189,,,,,,,
2987,h_g,184,,,,,,,
4861,ppi_c,177,,,,,,,
761,accoa_m,161,,,,,,,
2996,h2o_e,161,,,,,,,
4406,nad_c,161,,,,,,,
1018,amp_c,154,,,,,,,
2993,h_x,151,,,,,,,
4412,nadh_c,151,,,,,,,
2510,fad_m,148,,,,,,,
2514,fadh2_m,148,,,,,,,
3002,h2o_x,141,,,,,,,
1926,coa_x,138,,,,,,,
4420,nadp_r,135,,,,,,,
4424,nadph_r,135,,,,,,,
1925,coa_r,133,,,,,,,
1091,arg__L_c,131,,,,,,,
4488,o2_r,125,,,,,,,
1873,chsterol_r,123,,,,,,,
5502,trp__L_c,123,,,,,,,
1973,crn_m,121,,,,,,,
4768,phe__L_c,116,,,,,,,
2830,gly_c,115,,,,,,,
5609,tyr__L_c,115,,,,,,,
4899,pro__L_c,110,,,,,,,
2088,cys__L_c,108,,,,,,,
4489,o2_x,108,,,,,,,
1913,co2_c,107,,,,,,,
3268,his__L_c,107,,,,,,,
3774,lys__L_c,107,,,,,,,
2761,gln__L_c,104,,,,,,,
3618,leu__L_c,104,,,,,,,
4411,nad_x,104,,,,,,,
4416,nadh_x,104,,,,,,,
943,ala__L_c,101,,,,,,,
2782,glu__L_c,101,,,,,,,
3009,h2o2_x,100,,,,,,,
4308,met__L_c,98,,,,,,,
5116,ser__L_c,98,,,,,,,
5406,thr__L_c,94,,,,,,,
5651,udp_g,94,,,,,,,
764,accoa_x,93,,,,,,,
1140,asn__L_c,92,,,,,,,
5708,val__L_c,91,,,,,,,
2989,h_l,90,,,,,,,
4419,nadp_m,86,,,,,,,
4423,nadph_m,86,,,,,,,
3441,ile__L_c,82,,,,,,,
1196,atp_r,80,,,,,,,
1886,cl_c,78,,,,,,,
1887,cl_e,78,,,,,,,
2961,gthrd_c,77,,,,,,,
4865,ppi_r,71,,,,,,,
3619,leu__L_e,70,,,,,,,
4623,pchol_hs_c,70,,,,,,,
5160,so4_l,70,,,,,,,
1194,atp_m,69,,,,,,,
2831,gly_e,68,,,,,,,
4447,nh4_c,67,,,,,,,
5649,udp_c,67,,,,,,,
944,ala__L_e,66,,,,,,,
1024,amp_r,65,,,,,,,
1869,chsterol_e,65,,,,,,,
4769,phe__L_e,65,,,,,,,
2762,gln__L_e,64,,,,,,,
4900,pro__L_e,64,,,,,,,
936,akg_c,63,,,,,,,
5117,ser__L_e,63,,,,,,,
5654,udp_r,63,,,,,,,
2089,cys__L_e,62,,,,,,,
3442,ile__L_e,62,,,,,,,
1141,asn__L_e,61,,,,,,,
4309,met__L_e,61,,,,,,,
5503,trp__L_e,61,,,,,,,
5610,tyr__L_e,60,,,,,,,
5709,val__L_e,60,,,,,,,
3323,hom__L_c,59,,,,,,,
5407,thr__L_e,59,,,,,,,
5669,udpglcur_r,59,,,,,,,
3324,hom__L_e,58,,,,,,,
4486,o2_m,57,,,,,,,
886,adp_m,56,,,,,,,
5073,Rtotal2_c,56,,,,,,,
2962,gthrd_e,55,,,,,,,
3003,h2o2_c,55,,,,,,,
3142,HC02199_c,55,,,,,,,
3143,HC02199_e,55,,,,,,,
3144,HC02200_c,55,,,,,,,
3145,HC02200_e,55,,,,,,,
3146,HC02201_c,55,,,,,,,
3147,HC02201_e,55,,,,,,,
5791,xolest2_hs_e,55,,,,,,,
1883,citr__L_c,52,,,,,,,
